epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.587,1.54806,3.46958,1.99562,0.00333,1,0.02405,0.0071,1.55136,4.07681,2.34565,2e-05,2e-05,2e-05
2,19.0615,1.40938,3.12752,1.774,0.00333,1,0.2377,0.08974,1.4454,3.81973,1.9746,5.8812e-05,5.8812e-05,5.8812e-05
3,26.4282,1.17119,2.87225,1.4477,0.00333,1,0.91417,0.50548,1.34787,3.63069,1.59717,9.604e-05,9.604e-05,9.604e-05
4,33.8207,1.15659,2.48733,1.23698,0.00333,1,0.93616,0.61346,1.09597,3.29647,1.27741,0.000131684,0.000131684,0.000131684
5,41.2193,1.27463,2.12065,1.31519,0.00333,1,0.95423,0.63989,1.07651,3.13835,1.24066,0.000165744,0.000165744,0.000165744
6,48.6972,1.20869,1.55334,1.25479,0.72845,1,0.97652,0.68555,0.99713,2.86335,1.225,0.00019822,0.00019822,0.00019822
7,56.1413,1.14413,1.49057,1.30978,1,0.78283,0.98955,0.69043,1.04582,2.62815,1.23858,0.000229112,0.000229112,0.000229112
8,63.5378,1.12723,1.42831,1.22446,1,0.7914,0.99312,0.66461,1.08834,2.59503,1.27654,0.00025842,0.00025842,0.00025842
9,70.8279,1.02791,1.29809,1.15798,1,0.79399,0.99403,0.68103,1.07726,2.61985,1.28637,0.000286144,0.000286144,0.000286144
10,78.1823,1.05644,1.22431,1.09142,1,0.78487,0.995,0.70522,1.03303,2.63096,1.2642,0.000312284,0.000312284,0.000312284
11,85.5875,1.10896,1.27301,1.21447,1,0.77279,0.995,0.71006,1.03218,2.62732,1.26498,0.00033684,0.00033684,0.00033684
12,92.9502,1.08848,1.29248,1.21751,1,0.77672,0.99403,0.69643,1.03385,2.6228,1.25009,0.000359812,0.000359812,0.000359812
13,100.288,1.0677,1.21322,1.16787,1,0.77924,0.995,0.70381,0.99719,2.65592,1.21965,0.0003812,0.0003812,0.0003812
14,107.851,1.09684,1.21617,1.16218,1,0.78179,0.99403,0.71546,0.98831,2.72353,1.21285,0.000401004,0.000401004,0.000401004
15,115.187,1.01309,1.19006,1.11563,1,0.78391,0.99227,0.76373,0.9392,2.74488,1.17133,0.000419224,0.000419224,0.000419224
16,122.626,1.07733,1.17396,1.12847,1,0.79673,0.995,0.77353,0.91491,2.64361,1.15346,0.00043586,0.00043586,0.00043586
17,130.035,0.96954,1.2131,1.12543,1,0.91161,0.995,0.77731,0.90608,2.53406,1.15339,0.000450912,0.000450912,0.000450912
18,137.395,1.06915,1.31606,1.24586,1,0.97782,0.995,0.76085,0.86915,2.45073,1.08602,0.00046438,0.00046438,0.00046438
19,144.679,0.95949,1.2039,1.12061,1,0.9174,0.99403,0.73687,0.88133,2.46427,1.0838,0.000476264,0.000476264,0.000476264
20,152.09,1.02696,1.30826,1.20888,1,0.86175,0.98263,0.70198,0.9684,2.48439,1.15677,0.000486564,0.000486564,0.000486564
21,159.344,1.08802,1.19504,1.15598,1,0.85057,0.97885,0.70597,0.95303,2.51315,1.15857,0.00049528,0.00049528,0.00049528
22,166.65,1.03886,1.19194,1.19283,0.98389,0.9,0.98838,0.73505,0.93705,2.44352,1.18209,0.000502412,0.000502412,0.000502412
23,173.948,0.90973,1.09395,1.05141,1,0.96541,0.995,0.74216,0.87131,2.30234,1.17411,0.00050796,0.00050796,0.00050796
24,181.341,0.90227,1.07273,1.06245,0.96655,0.96335,0.99212,0.74213,0.92876,2.18002,1.2016,0.000511924,0.000511924,0.000511924
25,188.696,0.98328,1.01668,1.15388,0.93649,0.98334,0.98979,0.74176,0.95906,2.11163,1.24495,0.000514304,0.000514304,0.000514304
26,196.082,0.9175,1.02734,1.09947,0.96613,0.95108,0.99212,0.73507,0.98103,2.08791,1.26413,0.0005151,0.0005151,0.0005151
27,203.376,0.9588,1.0236,1.12663,1,0.93201,0.99403,0.73402,0.94246,2.07811,1.19662,0.000514312,0.000514312,0.000514312
28,210.66,0.94624,0.95135,1.06916,1,0.93201,0.99403,0.73402,0.94246,2.07811,1.19662,0.00051194,0.00051194,0.00051194
29,217.908,0.99053,0.98549,1.08592,1,0.95382,0.995,0.75843,0.83363,1.96567,1.10457,0.000507984,0.000507984,0.000507984
30,225.632,0.85793,0.89156,1.07154,0.99633,1,0.995,0.75978,0.89714,1.88081,1.1749,0.000502444,0.000502444,0.000502444
31,233.343,0.86544,0.86755,1.07402,0.99633,1,0.995,0.75978,0.89714,1.88081,1.1749,0.00049532,0.00049532,0.00049532
32,240.87,1.01787,1.09218,1.20389,1,0.99627,0.995,0.75321,0.942,1.85627,1.20005,0.000486612,0.000486612,0.000486612
33,248.309,1.06258,1.06147,1.22813,0.98015,1,0.995,0.77922,0.84883,1.86745,1.09037,0.00047632,0.00047632,0.00047632
34,255.749,0.94247,0.93507,1.0976,0.98015,1,0.995,0.77922,0.84883,1.86745,1.09037,0.000464444,0.000464444,0.000464444
35,263.155,0.84829,0.9008,1.07884,0.96037,1,0.98984,0.77595,0.82085,1.89187,1.07325,0.000450984,0.000450984,0.000450984
36,270.55,0.83642,0.89349,1.06862,0.95295,1,0.99403,0.77985,0.82366,1.87106,1.06079,0.00043594,0.00043594,0.00043594
37,277.888,0.712,0.89465,0.9623,0.95295,1,0.99403,0.77985,0.82366,1.87106,1.06079,0.000419312,0.000419312,0.000419312
38,285.342,0.83895,1.00399,1.12861,0.98706,0.96667,0.99312,0.80079,0.77161,1.80425,1.0387,0.0004011,0.0004011,0.0004011
39,292.701,0.81641,0.94734,1.03821,1,0.99346,0.995,0.78183,0.7902,1.74824,1.04937,0.000381304,0.000381304,0.000381304
40,299.911,0.90672,1.0321,1.0961,1,0.99346,0.995,0.78183,0.7902,1.74824,1.04937,0.000359924,0.000359924,0.000359924
41,307.019,0.83093,1.20281,1.03638,0.99823,1,0.995,0.79394,0.76987,1.69175,1.02798,0.00033696,0.00033696,0.00033696
42,314.149,0.78872,1.29105,0.99284,0.9985,1,0.995,0.80154,0.7442,1.71094,1.01331,0.000312412,0.000312412,0.000312412
43,321.276,0.83028,1.29737,1.11241,0.9985,1,0.995,0.80154,0.7442,1.71094,1.01331,0.00028628,0.00028628,0.00028628
44,328.517,0.71786,1.14966,0.96769,0.99593,1,0.995,0.82679,0.71427,1.75987,0.98779,0.000258564,0.000258564,0.000258564
45,335.708,0.66744,1.08553,0.91408,0.99593,1,0.995,0.82679,0.71427,1.75987,0.98779,0.000229264,0.000229264,0.000229264
46,342.899,0.66695,1.1277,1.00252,0.99353,1,0.995,0.8299,0.70099,1.80364,0.97458,0.00019838,0.00019838,0.00019838
47,350.016,0.66253,1.12506,1.01154,0.99353,1,0.995,0.8299,0.70099,1.80364,0.97458,0.000165912,0.000165912,0.000165912
48,357.407,0.65803,1.15648,0.97991,0.99362,1,0.995,0.84852,0.6743,1.78995,0.94917,0.00013186,0.00013186,0.00013186
49,365.162,0.63871,1.16895,0.93055,0.99362,1,0.995,0.84852,0.6743,1.78995,0.94917,9.6224e-05,9.6224e-05,9.6224e-05
50,380.29,0.69821,1.20011,0.94116,0.99572,1,0.995,0.84678,0.65695,1.7234,0.93307,5.9004e-05,5.9004e-05,5.9004e-05
